,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredients,Meal Name,Size,ID,fdcId,Brand,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na"
Pepper Bell Red Whole,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,11821,75226060,Survey (FNDDS),89.2 kcal,1.01 g,2.1 g,39 µg,8 mg,6.09 g,0.44 mg,12 mg,0.938 mg,27 mg,213 mg,0.082 mg,0.049 mg,162 µg,0 µg,0.281 µg,110 mg,1.9 mg,7.4 µg,0.25 mg,131 mg
Salt,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,2047,2125970,Morton Salt,0 kcal,0 g,0 g,0 µg,50 mg,0 g,0 mg,0 mg,0 mg,0 mg,2 mg,0 mg,0 mg,0 mg,0 µg,0 µg,0 mg,0 µg,0 mg,0mg,39333 mg
Shiitake Mushroom,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,11238,169242,Survey (FNDDS),34 kcal,2.24 g,2.5 g,13 µg,2 mg,6.79 g,0.41 mg,20 mg,3.88 mg,112 mg,304 mg,0.217 mg,0.015 mg,0 µg,0 µg,0.293 mg,0 mg,0 mg,0.49 µg,1.03 mg,9 mg
Sugar,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,19335,2021609," Food Services Of America, Inc. ",375 kcal,0 g,0 g,0 µg,1 mg,100 g,0.05 mg,0 mg,0 mg,0 mg,2 mg,0.019 mg,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 µg,0.01 mg,38579mg
Vinegar,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,2053,1102778,Survey (FNDDS),21 kcal,0 g,0 g,0 µg,7 mg,0.93 g,0.2 mg,5 mg,0 mg,8 mg,73 mg,0 mg,0 mg,0 µg,0 µg,0 mg,0 mg,0 mg,0 µg,0.04 mg,5 mg
Black Pepper,Halal Beef,100 g/1 hectogram,1002030,170931,Survey (FNDDS),251 kcal,10.4 g,25.3 g,17 µg,443 mg,64 g,9.71 mg,171 mg,1.14 mg,158 mg,1330 mg,0.18 mg,0.108 mg,27 µg,0 µg,0.291,0 mg,0 mg,164 µg,1.19 mg,20 mg
Canola Oil,Halal Beef,100 g/1 hectogram,4582,172336,Survey (FNDDS),884 kcal,0 g,0 g,0 µg,0 mg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 µg,0 mg,0 mg,0 mg,71.3 µg,0 mg,0 mg
Extra Virgin Olive Oil,Halal Beef,100 g/1 hectogram,1034053,171413,Survey (FNDDS),884 kcal,0 g,0 g,0 µg,1 mg,0 g,0.56 mg,0 mg,0 mg,0 mg,1 mg,0 mg,0 mg,0 µg,0 µg,0 mg,0 mg,0 mg,0 µg,0 mg,2 mg
Halal Ground Beef,Halal Beef,100 g/1 hectogram,10023572,1098212,none brand,247 kcal,25.54 g,0 g,7 µg,17 mg,0 g,1.97mg,17 mg,4.3 mg,160 mg,274 mg,0.151 mg,0.043 mg,4 µg,2.15 µg,0.328 mg,0 mg,0.17 mg,1.7 µg,4.23 mg,66 mg
Parsley,Halal Beef,100 g/1 hectogram,11297,1103365,Survey (FNDDS),36 kcal,2.97 g,3.3 g,152 µg,138 mg,6.33 g,6.2 mg,50 mg,1.31 mg,58 mg,554 mg,0.098 mg,.086 mg,421 µg,0 µg,.06 mg,133 mg,.75 mg,1640 µg,1.07 mg,50 mg
Salt,Halal Beef,100 g/1 hectogram,2047,746775,MORTON,0 kcal,0 g,0 g,0 µg,50 mg,0 g,0 mg,0 mg,0 mg,0 mg,2 mg,0 mg,0 mg,0 µg,0 µg,0 mg,0 mg,0 mg,0µg,0 mg,38700 mg
Halal Chicken ,Halal Chicken,100 g/1 hectogram,1055062,2090362,"Wegmans Food Markets, Inc.",188 kcal,24.7 g,0 g,8 µg,0 mg,1.18 g,0.42 mg,23 mg,7.57 mg,236 mg,278 mg,0.181 mg,0.07 mg,8 µg,0.36 µg,0.246 mg,0 mg,0 mg,0 µg,1.6 mg,353 mg
